vendor_key,kind,url,label,source_sheet,source_rows,source_checksum
ven_f2d5e8656cfc,WEBSITE,https://www.meglio.id/,Website,List,263,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f2d5e8656cfc,INSTAGRAM,https://www.instagram.com/meglio.collection/,Instagram,List,263,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f2d5e8656cfc,CATALOG,https://www.tokopedia.com/meglio-home?utm_campaign=Shop-5632892-13400633-160423&utm_source=salinlink&utm_medium=share&_branch_match_id=1193102772423888432&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXL8nPzi9ITclM1MvJzMvWr0xKDvCqMCgxrEyyrytKTUstKsrMS49PKsovL04tsnXOKMrPTQUAyuN%2BGzwAAAA%3D,Product website/katalog,List,263,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f2d5e8656cfc,CATALOG,https://drive.google.com/drive/folders/19np2H9KlnTGIvqD-Y1hKWBH8A7m1Zx0i?usp=drive_link,Drive/folder katalog,List,263,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7f1383fe78f1,INSTAGRAM,https://www.instagram.com/miannliving/,Instagram,List,264,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_578a099a1971,WEBSITE,http://www.milandbay.com,Website,List,265;266,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_578a099a1971,INSTAGRAM,https://www.instagram.com/milandbay/,Instagram,List,265;266,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0f52017ae615,WEBSITE,https://www.milantiles.com/,Website,List,267,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0f52017ae615,INSTAGRAM,https://www.instagram.com/milantiles/,Instagram,List,267,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_0f52017ae615,CATALOG,https://drive.google.com/drive/folders/1qVgYn8mlOygarIUvQS0KyxZy9j2U1azX?usp=drive_link,Drive/folder katalog,List,267,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7b02fc389884,INSTAGRAM,https://www.instagram.com/mill.aluminium/?hl=en,Instagram,List,268,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_75dde4a5f4e5,WEBSITE,https://www.monolithsurfaces.com,Website,List,269,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_75dde4a5f4e5,INSTAGRAM,https://www.instagram.com/mimos.surface/?hl=en,Instagram,List,269,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_75dde4a5f4e5,CATALOG,https://www.monolithsurfaces.com/catalogues.php,Product website/katalog,List,269,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_75dde4a5f4e5,CATALOG,https://drive.google.com/drive/folders/1DmQVEhVH_9_zMFpBhEi60MP-jWr260qw?usp=share_link,Drive/folder katalog,List,269,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e946c514ab64,WEBSITE,https://www.miratap.id,Website,List,270,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e946c514ab64,INSTAGRAM,https://www.instagram.com/miratap_indonesia/,Instagram,List,270,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e1cb5f98a77d,WEBSITE,https://modeco.id,Website,List,271,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e1cb5f98a77d,INSTAGRAM,https://www.instagram.com/modecostoneindonesia/,Instagram,List,271,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
