vendor_key,vendor_name,legal_name,address,notes,source_sheet,source_rows,source_checksum
ven_534647ddc3a0,Sakamurya Furniture,,Jakarta,,List,359,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ddcf4bfae15d,Sampoerna Kayoe,PT Sumber Graha Sejahtera,Jakarta,,List,360,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d92ae279af74,Samudera Solid Surface,,Bogor,,List,361,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5e9b5031198d,Sana Living,,Jakarta,,List,362,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8f4df4ab2108,Sandimas,,Jakarta,,List,472,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9a7c57a92e92,Sans Mosaic,,Jakarta,,List,363,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_043ff27f9d47,Sanwacompany,,Jakarta,,List,473,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e0f8a1476969,Selia Project,,Jakarta,,List,481,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ffb844281605,Sentra Bata,CV Mahiera Global Solution,Jakarta,,List,364,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9d7ea0a869a5,Sentra Marble,,Jakarta,,List,365,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9e94e3750303,Sentra Marmer (Sekawan Alam Sejahtera Marmer),,Jakarta,,List,366,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_31fce62b2e21,Sentracon,,Jakarta,,List,367,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_87daad822c6e,Serba Antik,,"Jakarta, Bali, Surabaya",,List,368;369,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_703b5e3c1f7d,Seyven,,Jakarta,,List,370,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e7eab9aeb356,Sib Indonesia,,,,List,371,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_77fb08d2b315,Singres,,Jakarta,,List,372,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f1b091846568,Sioline,PT Wiaga Intech Nusantara,Tangerang,,List,373,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b8f4a9b2819d,Sisu Home,,Jakarta,,List,374,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_10457db46ef5,Skayu,,Jakarta,,List,375,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d5262c8b15d8,Skywall,,Bandung,,List,376,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9ca87fe6e218,Sol by pdm,PT Perintis Dinamika Multiniaga,Jakarta,,List,377,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_89e8e912c124,Sola Ananda Jaya,,Jakarta,,List,378,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ffcb0076fbd6,Somwher,,Jakarta,,List,474,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_893b35b79358,Sors Furniture,,Jakarta,,List,379,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2b1f0b2bda92,Soshoku,,Jakarta,,List,380,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_45d035fcad3f,Spasium,,Jakarta,,List,475,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e80938dd3117,SPF,PT Sumatera Prima Fibreboard,Jakarta,,List,381,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_93a16ce01ed0,Stark Floor,Sentrawana Gemilang Indonesia,"Jakarta, Surabaya",,List,382,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9d229f377840,Startha Group - Decoedge,PT Surya Tri Arthayasa,Jakarta,,List,383,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f1a42604cd55,Startha Group - Decofoil,PT Surya Tri Arthayasa,Jakarta,,List,384,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e69c7c2268a1,Startha Group - Decopaper,PT Surya Tri Arthayasa,Jakarta,,List,385,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_45f0fdd37fe5,Stuccoverni,,Tangerang,,List,386,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4131b6fdb7c0,Studio Dekor,,Jakarta,,List,387,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3254ad02899d,Sufelindo,PT Sufelindo Damai Sejahtera,Tangerang,,List,388,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_c441e81afd42,Sulla.Home,,Jakarta,,List,389,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7dda47f14680,Sumber Jati Furniture,,Jepara,,List,390,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_4e6c372cfb33,Sunarko,,,,List,391,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_48973dbd4188,Sunbeamfabric,,Jakarta,,List,392,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_78dac1fec5f5,Surya Pertiwi,PT Surya Pertiwi Tbk,Jakarta Barat,,List,393,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_32db990d8f05,Suzuka Group,,Jakarta,,List,394,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_07c05679b1cf,Taco,,Jakarta,,List,395,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2cadf24e1fee,Tanam Lokal,,Jakarta,,List,396,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_bb49211a375d,Technal,PT Sola Ananda Jaya,Jakarta,,List,397,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_3b949d288337,Tecnishop,,Jakarta,,List,398;399,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_58f8d1e2afc5,Tegel Kayu,PT Permata Jaya Mandiri,Tangerang,,List,400,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f2efb7bfe724,TEKA Parquet,PT Tanjung Kreasi Parquet Industry,Tangerang,,List,401,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_98a409d1b6c9,Tera Kaiyaa,,Jakarta,,List,402,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_eb17b972269b,Terakota Indonesia,,Jakarta,,List,403,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_9d78dce55984,Terraesta,,Bali,,List,404,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_08ed19293fe4,Textura Pratta Indonesia,,Bali,,List,405,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_7b1cb52f8a7f,The New Factory,,Bandung,,List,406,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_370a5d4cd966,Thermotech Indonesia,,Jakarta,,List,407,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d37f48d80411,Titanium,PT Surya Multi Cemerlang,Bandung,,List,408,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_28b2a172c1af,Tmac Decorazzo,,Jakarta,,List,409,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2717c3695dbc,Tostem Indonesia,LIXIL,Jakarta,,List,410,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d79e8e4a6c05,Tridaya Elektrindo,PT Tridaya Dinamika Elektrindo,Jakarta,,List,411,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_68c0edfe5ef6,Triem Soldi Surface,CV Triem Gunung Mas Sejahtera,Jakarta,,List,412,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_a46e0f4e2e93,Trio Jaya Steel,PT Trio Jaya Steel,Tangerang,,List,413;414,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b45ea62bce8e,Twin Fittings,,Jakarta,,List,415,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_672669ca4143,Ubin Kayu,,"Tangerang, Bali, Surabaya",,List,416;417;418,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_77d774c120a8,UNO Office,PT Mitra Teknik Sukses,Jakarta,,List,419,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_abccc93cd88f,Up Space,,Jakarta,,List,421,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_5504068fe882,Vacolux,,Jakarta,,List,464,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_e46e3f7379cd,VAGG,,Jakarta,,List,422,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_ef02a2a902c6,Varnesse,PT Sinco Kencana Fiber,Tangerang,,List,423,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_b8b22aedc372,Venus,PT Venus Ceramica International,Tangerang,,List,424;425;426;427;428,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_66d9de9a959e,Venus Tiles Bandung,,Bandung,,List,429,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_dc9866457415,Verona Marble,,Jakarta,,List,430,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8d5cd763d2b8,Victory Eurofit Systems,PT Victory Eurofit Systems,Jakarta,,List,431,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_f97dd9fc613d,Viostone,,Jakarta,,List,432;433,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_2e70a05fd6b8,Vivano Living,,Jakarta,,List,434,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_8d87c632219e,Vivere,,Tangerang,,List,435,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
ven_d348710974cb,Vivere - Idemu,,Tangerang,,List,436,1AB11BD57893424EA226135F670197B31B96B861BA05C0C4962AF5BC8D0FBCEE
